id,title,authors,n_citation,references,venue,year
53e99796b7602d9701f5e8cf,Fuzzy Sets,[{'name': 'Lotfi A. Zadeh'}],91213,"['53e99b26b7602d97023c2ec8', '53e99c04b7602d97024b28b1', '53e99c91b7602d9702542710', '53e99e94b7602d970275d476', '53e99f02b7602d97027cf490', '53e9a388b7602d9702c98cd6', '53e9a532b7602d9702e53f30', '53e9a57cb7602d9702ea3518', '53e9a727b7602d970305e84e', '53e9a812b7602d9703155fbb', '53e9ab07b7602d970348dd07', '53e9ab69b7602d9703506b9e', '53e9ad92b7602d970378e217', '53e9af19b7602d9703954368', '53e9b33db7602d9703e112c7', '53e9b4dfb7602d9704001971', '53e9b577b7602d97040b15e2', '53e9b7d9b7602d9704388176', '53e9ba45b7602d9704659bc8', '53e9bc00b7602d9704860ae3', '53e9bc3bb7602d97048af1fa', '53e9bde9b7602d9704a9c666']",Information and Control,1965
53e99822b7602d9702040e8f,Statistical Learning Theory,"[{'name': 'Vladimir Vapnik', 'org': 'Bell Laboratories'}]",67786,,Technometrics,1998
53e99809b7602d970201ea0f,"Cancer statistics, 2008.","[{'name': 'Jemal Ahmedin', 'org': 'Cancer Occurrence, Department of Epidemiology and Surveillance Research, American Cancer Society, Atlanta, GA, USA.'}, {'name': 'Tiwari Ram C'}, {'name': 'Murray Taylor'}, {'name': 'Ghafoor Asma'}, {'name': 'Samuels Alicia'}, {'name': 'Ward Elizabeth'}, {'name': 'Feuer Eric J'}, {'name': 'Thun Michael J'}, {'name': 'null null'}]",49611,"['53e9a9b7b7602d9703314891', '53e9998ab7602d97021ca63a', '53e99dc5b7602d97026875c4', '53e9a194b7602d9702a8719c', '53e9b2b8b7602d9703d620ec', '53e9a965b7602d97032ba8e4', '53e9b8ccb7602d97044aaa23', '55a4c03ac91bf3b1cc45cc30', '53e9b46fb7602d9703f6ebd4', '53e9b188b7602d9703c0ee55', '53e9ac7bb7602d970364eaea']",CA: a cancer journal for clinicians,2002
53e997f4b7602d9701ff7484,Introduction to algorithms,"[{'name': 'thomas h cormen', 'org': 'massachusetts institute of technology'}, {'name': 'clifford stein', 'org': 'massachusetts institute of technology'}, {'name': 'ronald l rivest', 'org': 'massachusetts institute of technology'}, {'name': 'charles e leiserson', 'org': 'massachusetts institute of technology'}]",46246,"['53e9979bb7602d9701f660a2', '53e997e9b7602d9701fe650a', '53e9989bb7602d97020d2884', '53e9993fb7602d9702179a0c', '53e99f8db7602d9702865755', '53e99ff0b7602d97028d3935', '53e9a254b7602d9702b5b582', '53e9a272b7602d9702b7c206', '53e9a46bb7602d9702d897c2', '53e9a5dbb7602d9702f02c92', '53e9a5fdb7602d9702f27dbe', '53e9a7c8b7602d97031092e3', '53e9aab0b7602d970342d491', '53e9aaf3b7602d9703476ab2', '53e9ab25b7602d97034af6a9', '53e9ac89b7602d9703662a16', '53e9accbb7602d97036a873b', '53e9ad56b7602d970373bc3f', '53e9ad5db7602d9703743f2a', '53e9ae69b7602d97038872ac', '53e9aeddb7602d970390804a', '53e9af6eb7602d97039b35b1', '53e9affbb7602d9703a55249', '53e9b0d8b7602d9703b50199', '53e9b1bcb7602d9703c4b9c5', '53e9b2bfb7602d9703d6aa74', '53e9b30ab7602d9703dce689', '53e9b413b7602d9703f0b9b9', '53e9b4a1b7602d9703fadfb7', '53e9b55db7602d97040951eb', '53e9b5e6b7602d970413a31f', '53e9b6b9b7602d9704241c25', '53e9bbe5b7602d9704836cd3', '53e9bc00b7602d970485c249', '53e9bccbb7602d970494e3c6', '53e9bcd2b7602d9704956a43', '53e9bd82b7602d9704a2750e', '53e9bdbfb7602d9704a71b5c']",Introduction to algorithms,1990
53e997aeb7602d9701f8c595,Phylogenetic Inference.,,41468,['53e99a20b7602d9702275554'],Encyclopedia of Parallel Computing,2011
53e99796b7602d9701f5eda9,Fuzzy Sets,"[{'name': 'James Buckley', 'org': 'Mathematics Department University of Alabama at Birmingham Birmingham, AL 35294 USA'}, {'name': 'Leonard Jowers', 'org': 'Department of Computer and Information Sciences University of Alabama at Birmingham Birmingham, AL 35294 USA'}]",37484,,,
53e997a2b7602d9701f75618,Convex Optimization,"[{'name': 'Stephen Boyd'}, {'name': 'Lieven Vandenberghe'}]",35930,,Convex Optimization,2004
53e99804b7602d9702017909,DEVELOPMENT AS FREEDOM,"[{'name': 'AMARTYA SEN'}, {'name': 'Amartya Sen'}]",29763,"['53e99acab7602d9702347657', '53e9b600b7602d9704155707', '53e9aef7b7602d9703929c44', '53e99ab8b7602d9702333b9b', '53e9a900b7602d9703253787', '53e9addbb7602d97037e26da', '53e9aa9cb7602d97034176c9', '53e9b4d9b7602d9703ffc294']",Journal of Public Health Policy,1999
53e997bab7602d9701fa4905,Unsupervised learning,"[{'name': 'Geoffrey Hinton'}, {'name': 'Terrence J. Sejnowski'}]",29443,,Unsupervised learning,1999
53e997c6b7602d9701fb7074,Random Forests,"[{'name': 'Leo Breiman', 'org': 'Statistics Department, University of California, Berkeley, CA 94720'}]",29355,"['53e9979fb7602d9701f6fbfd', '53e99bfeb7602d97024a6a2b', '53e99bfeb7602d97024a6a2a', '53e99b21b7602d97023b612f', '53e99e31b7602d97026f6851', '53e99da4b7602d97026643f5', '53e9aa9bb7602d9703412d15', '53e99b71b7602d9702416dec', '53e99d13b7602d97025c79a8', '53e9a7ebb7602d970312c39c', '53e9b61bb7602d9704173309', '53e9b4d9b7602d9703ffd56d', '53e9a593b7602d9702eb9e98', '53e9aa48b7602d97033b75c9', '55323bdc45cec66b6f9dabfc', '53e9a9b0b7602d970330eedb', '53e9b365b7602d9703e46dc9']",Machine Learning,2001
53e997b2b7602d9701f8f650,Matrix analysis,"[{'name': 'Roger A. Horn', 'org': 'The Johns Hopkins Univ., Baltimore, MD'}, {'name': 'Charles R. Johnson', 'org': 'Clemson Univ., Clemson, SC'}]",27168,,Matrix analysis,1985
